06-19 00:45:35.410 23479 23541 I ReactNativeJS: Running "main"
06-19 00:45:36.196 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.209 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.264 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.277 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.280 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.312 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.337 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.338 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.349 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.369 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.386 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.429 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.443 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.464 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:36.475 23479 23479 E ThemeUtils: View class com.facebook.react.views.text.ReactTextView is an AppCompat widget that can only be used with a Theme.AppCompat theme (or descendant).
06-19 00:45:47.843 23479 23623 E AVManager: Cannot install JSI bindings for AV module because JS context is not available
06-19 00:45:48.444 23479 23623 I ReactNativeJS: Running "main" with {"rootTag":11,"initialProps":{"exp":{"initialUri":"exp://192.168.1.64:8081","shell":false,"manifestString":"{\"id\":\"f097bf9d-6dd0-44b8-95b4-84700265fb3f\",\"createdAt\":\"2026-06-19T00:46:45.812Z\",\"runtimeVersion\":\"exposdk:54.0.0\",\"launchAsset\":{\"key\":\"bundle\",\"contentType\":\"application\\/javascript\",\"url\":\"http:\\/\\/192.168.1.64:8081\\/artifacts\\/mobile\\/node_modules\\/expo-router\\/entry.bundle?platform=android&dev=true&hot=false&lazy=true&transform.engine=hermes&transform.bytecode=1&transform.routerRoot=app&transform.reactCompiler=true&unstable_transformProfile=hermes-stable\"},\"assets\":[],\"metadata\":{},\"extra\":{\"eas\":{},\"expoClient\":{\"name\":\"Zbarber\",\"slug\":\"mobile\",\"version\":\"1.0.0\",\"orientation\":\"portrait\",\"icon\":\".\\/assets\\/images\\/icon.png\",\"scheme\":\"mobile\",\"userInterfaceStyle\":\"automatic\",\"newArchEnabled\":true,\"splash\":{\"image\":\".\\/assets\\/images\\/icon.png\",\"resizeMode\":\"contain\",\"backgroundColor\":\"#0C1118\",\"imageUrl\":\"http:\\/\\/192.168.1.64:8081\\/assets\\/.\\/assets\\/images\\/icon.png\"},\"ios\":{\"supportsTablet\":false,\"bundleIdentifier\":\"net.zbarber.app\"},\"android\":{\"softwareKeyboardLayoutMode\":\"resize\",\"package\":\"net.zbarber.app\"},\"web\":{\"favicon\":\".\\/assets\\/images\\/icon.png\"},\"plugins\":[[\"expo-router\",{\"origin\":\"https:\\/\\/replit.com\\/\"}],\"expo-font\",\"expo-web-browser\"],\"experiments\":{\"typedRoutes\":true,\"reactCompiler\":true},\"_internal\":{\"isDebug\":false,\"projectRoot\":\"C:\\\\zbarber\\\\artifacts\\\\mobile\",\"dynamicConfigPath\":{},\"staticConfigPath\":\"C:\\\\zbarber\\\\artifacts\\\\mobile\\\\app.json\",\"packageJsonPath\":\"C:\\\\zbarber\\\\artifacts\\\\mobile\\\\package.json\",\"pluginHistory\":{\"expo-font\":{\"name\":\"expo-font\",\"version\":\"14.0.11\"},\"expo-web-browser\":{\"name\":\"expo-web-browser\",\"version\":\"15.0.11\"}}},\"sdkVersion\":\"54.0.0\",\"platforms\":[\"ios\",\"android\",\"web\"],\"extra\":{\"router\":{\"origin\":\"https:\\/\\/replit.com\\/\"}},\"iconUrl\":\"http:\\/\\/192.168.1.64:8081\\/assets\\/.\\/assets\\/images\\/icon.png\",\"hostUri\":\"192.168.1.64:8081\"},\"expoGo\":{\"debuggerHost\":\"192.168.1.64:8081\",\"developer\":{\"tool\":\"expo-cli\",\"projectRoot\":\"C:\\\\zbarber\\\\artifacts\\\\mobile\"},\"packagerOpts\":{\"dev\":true},\"mainModuleName\":\"artifacts\\/mobile\\/node_modules\\/expo-router\\/entry\"},\"scopeKey\":\"@anonymous\\/mobile-52ce7894-7070-475a-b761-abb85ad94577\"},\"isVerified\":true}"}},"fabric":true}
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector: Cannot acquire BluetoothActivityEnergyInfo
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector: java.util.concurrent.ExecutionException: java.lang.RuntimeException: error: 11
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at java.util.concurrent.CompletableFuture.reportGet(CompletableFuture.java:372)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at java.util.concurrent.CompletableFuture.get(CompletableFuture.java:2072)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.BluetoothPowerStatsCollector.collectBluetoothActivityInfo(BluetoothPowerStatsCollector.java:197)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.BluetoothPowerStatsCollector.collectStats(BluetoothPowerStatsCollector.java:156)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.PowerStatsCollector.collectAndDeliverStats(PowerStatsCollector.java:205)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.PowerStatsCollector.lambda$schedule$0(PowerStatsCollector.java:175)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.PowerStatsCollector.$r8$lambda$G7G_yFY7rV7oxQbQHnZ5FHX8eBk(PowerStatsCollector.java:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.PowerStatsCollector$$ExternalSyntheticLambda1.run(R8$$SyntheticClass:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Handler.handleCallback(Handler.java:1095)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Handler.dispatchMessageImpl(Handler.java:135)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Handler.dispatchMessage(Handler.java:125)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Looper.loopOnce(Looper.java:292)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Looper.loop(Looper.java:393)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.HandlerThread.run(HandlerThread.java:139)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector: Caused by: java.lang.RuntimeException: error: 11
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.power.stats.BluetoothPowerStatsCollector$1.onBluetoothActivityEnergyInfoError(BluetoothPowerStatsCollector.java:185)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothAdapter$OnBluetoothActivityEnergyInfoProxy.lambda$onBluetoothActivityEnergyInfoAvailable$0(BluetoothAdapter.java:952)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothAdapter$OnBluetoothActivityEnergyInfoProxy.$r8$lambda$ks_hN9Vo_x2Jp1k5f-s67WiAd4A(BluetoothAdapter.java:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothAdapter$OnBluetoothActivityEnergyInfoProxy$$ExternalSyntheticLambda0.run(D8$$SyntheticClass:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothUtils.lambda$executeFromBinder$0(BluetoothUtils.java:342)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothUtils$$ExternalSyntheticLambda1.run(D8$$SyntheticClass:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at com.android.server.SystemServerInitThreadPool$$ExternalSyntheticLambda0.execute(R8$$SyntheticClass:0)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothUtils.executeFromBinder(BluetoothUtils.java:342)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.BluetoothAdapter$OnBluetoothActivityEnergyInfoProxy.onBluetoothActivityEnergyInfoAvailable(BluetoothAdapter.java:950)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.bluetooth.IBluetoothActivityEnergyInfoListener$Stub.onTransact(IBluetoothActivityEnergyInfoListener.java:90)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Binder.execTransactInternal(Binder.java:1471)
06-19 00:46:12.981  1530  1573 E BluetoothPowerStatsCollector:  at android.os.Binder.execTransact(Binder.java:1411)
